lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,valid_mse_step,valid_mae_step,valid_ssim_step,valid_loss_epoch,valid_mse_epoch,valid_mae_epoch,valid_ssim_epoch,test_mse_step,test_mae_step,test_ssim_step,test_mse_epoch,test_mae_epoch,test_ssim_epoch
,,109,,,57.25602340698242,149.98178100585938,0.43017810583114624,,,,,,,,,,
,,110,,,57.67890548706055,148.217529296875,0.4171035885810852,,,,,,,,,,
,,111,,,51.7330322265625,131.7810821533203,0.49095669388771057,,,,,,,,,,
,,112,,,62.157615661621094,151.97378540039062,0.4327588975429535,,,,,,,,,,
,,113,,,49.16126251220703,132.16546630859375,0.45378485321998596,,,,,,,,,,
,,114,,,54.013526916503906,136.71640014648438,0.4855589270591736,,,,,,,,,,
,,115,,,55.64220428466797,144.89407348632812,0.4386236071586609,,,,,,,,,,
,,116,,,58.66057205200195,151.4033966064453,0.4083118438720703,,,,,,,,,,
,,117,,,43.33234405517578,116.30058288574219,0.4999680519104004,,,,,,,,,,
,,118,,,51.745445251464844,127.6583023071289,0.4641138017177582,,,,,,,,,,
,,119,,,65.76416778564453,154.19679260253906,0.4411378502845764,,,,,,,,,,
,,120,,,47.79279327392578,128.3252410888672,0.4777567982673645,,,,,,,,,,
,,121,,,54.55351638793945,142.47006225585938,0.4472568929195404,,,,,,,,,,
,,122,,,62.915687561035156,157.25521850585938,0.42656201124191284,,,,,,,,,,
,,123,,,40.275081634521484,114.7816162109375,0.5218377709388733,,,,,,,,,,
,,124,,,54.187110900878906,143.677734375,0.43070489168167114,,,,,,,,,,
,,125,,,55.071868896484375,143.2196807861328,0.4793759882450104,,,,,,,,,,
,,126,,,63.880889892578125,157.36947631835938,0.4287719130516052,,,,,,,,,,
,,127,,,64.36132049560547,156.0241241455078,0.44168806076049805,,,,,,,,,,
,,128,,,49.76354217529297,125.16717529296875,0.5057321786880493,,,,,,,,,,
,,129,,,73.02932739257812,174.31626892089844,0.38480788469314575,,,,,,,,,,
,,130,,,75.70878601074219,174.19027709960938,0.3923349380493164,,,,,,,,,,
,,131,,,53.2022590637207,138.98179626464844,0.4356522560119629,,,,,,,,,,
,,132,,,54.0313835144043,133.22572326660156,0.46141719818115234,,,,,,,,,,
,,133,,,61.89665603637695,150.49156188964844,0.44042468070983887,,,,,,,,,,
,,134,,,43.700687408447266,121.55290222167969,0.49835461378097534,,,,,,,,,,
,,135,,,60.01789474487305,146.28219604492188,0.44306355714797974,,,,,,,,,,
,,136,,,65.34762573242188,155.8980255126953,0.45673245191574097,,,,,,,,,,
,,137,,,52.0653190612793,141.0926055908203,0.46489056944847107,,,,,,,,,,
,,138,,,72.53031158447266,169.82968139648438,0.40126723051071167,,,,,,,,,,
,,139,,,45.502891540527344,122.58597564697266,0.49755603075027466,,,,,,,,,,
,,140,,,48.01350402832031,133.69351196289062,0.44747692346572876,,,,,,,,,,
,,141,,,72.84292602539062,167.67568969726562,0.4223484992980957,,,,,,,,,,
,,142,,,61.582481384277344,155.43759155273438,0.4435978829860687,,,,,,,,,,
,,143,,,44.42611312866211,120.82710266113281,0.5071202516555786,,,,,,,,,,
,,144,,,57.4445686340332,149.23556518554688,0.41449204087257385,,,,,,,,,,
,,145,,,64.1678237915039,165.45230102539062,0.4097079634666443,,,,,,,,,,
,,146,,,58.152565002441406,147.95896911621094,0.44764894247055054,,,,,,,,,,
,,147,,,54.00458908081055,138.92405700683594,0.45111098885536194,,,,,,,,,,
,,148,,,46.681949615478516,128.7648468017578,0.4597502648830414,,,,,,,,,,
,,149,,,61.4174690246582,163.35116577148438,0.3725472092628479,,,,,,,,,,
,,150,,,59.968788146972656,149.7479705810547,0.4535793662071228,,,,,,,,,,
,,151,,,64.15292358398438,160.64511108398438,0.4046080708503723,,,,,,,,,,
,,152,,,62.40227127075195,156.7120819091797,0.4124705195426941,,,,,,,,,,
,,153,,,46.473445892333984,131.26280212402344,0.4545201361179352,,,,,,,,,,
,,154,,,59.76652908325195,147.9927978515625,0.4674392342567444,,,,,,,,,,
,,155,,,43.469032287597656,116.92573547363281,0.5122132301330566,,,,,,,,,,
,,156,,,63.193931579589844,159.98568725585938,0.4055207371711731,,,,,,,,,,
,,157,,,56.244842529296875,142.3589630126953,0.46823540329933167,,,,,,,,,,
,,158,,,47.71748352050781,132.3082275390625,0.4673171937465668,,,,,,,,,,
,,159,,,54.76549530029297,141.07821655273438,0.46666932106018066,,,,,,,,,,
,,160,,,42.37885665893555,124.3720703125,0.4856223165988922,,,,,,,,,,
,,161,,,63.25284957885742,149.40896606445312,0.4286420941352844,,,,,,,,,,
,,162,,,44.986053466796875,127.3438720703125,0.480070024728775,,,,,,,,,,
,,163,,,62.50543212890625,152.86009216308594,0.43868836760520935,,,,,,,,,,
,,164,,,49.28620147705078,134.2389678955078,0.4767267107963562,,,,,,,,,,
,,165,,,52.36511993408203,141.8950958251953,0.4465077519416809,,,,,,,,,,
,,166,,,58.077880859375,150.72769165039062,0.42225486040115356,,,,,,,,,,
,,167,,,60.247901916503906,150.57958984375,0.4231123924255371,,,,,,,,,,
,,168,,,59.03691482543945,143.71908569335938,0.4760790765285492,,,,,,,,,,
,,169,,,83.49960327148438,190.96701049804688,0.3670751452445984,,,,,,,,,,
,,170,,,42.45635986328125,118.64405822753906,0.505565881729126,,,,,,,,,,
,,171,,,46.14917755126953,127.5376205444336,0.4727630615234375,,,,,,,,,,
,,172,,,65.8016357421875,163.4891815185547,0.4171592593193054,,,,,,,,,,
,,173,,,56.52781295776367,139.5312042236328,0.48367977142333984,,,,,,,,,,
